CLASS,LABEL,ERROR,LATENT_DISTANCE,EMBEDDING_DISTANCE,TYPE_DATASET
Kicking,6,171.72858,7.372123,21.397495,TRAIN
Swing-SideAngle,1,289.91544,3.678579,18.457014,TRAIN
Kicking,6,140.38266,11.32391,23.436388,TRAIN
Run-Side,0,235.27803,7.2709417,26.239029,TRAIN
Swing-SideAngle,1,165.2299,6.03843,17.743301,TRAIN
Riding-Horse,3,180.48837,7.460373,20.621828,TRAIN
Diving-Side,5,187.38725,6.3762226,18.677332,TRAIN
Swing-SideAngle,1,209.39078,3.4861927,16.59183,TRAIN
Swing-SideAngle,1,237.20847,3.0670595,17.19758,TRAIN
Diving-Side,5,209.32153,6.9854226,18.873413,TRAIN
Run-Side,0,267.0213,5.08039,19.994528,TRAIN
Swing-Bench,2,70.969154,7.634241,16.014883,TRAIN
Golf-Swing,4,188.5083,8.8722,19.316044,TRAIN
Golf-Swing,4,330.4582,4.5344744,19.900492,TRAIN
Swing-Bench,2,119.5271,5.5698605,16.314844,TRAIN
Swing-SideAngle,1,213.93616,4.220858,17.668406,TRAIN
Swing-SideAngle,1,268.346,5.131753,19.133308,TRAIN
Golf-Swing,4,246.22827,4.3860316,17.469824,TRAIN
Swing-Bench,2,243.03711,6.352984,19.60528,TRAIN
Swing-Bench,2,168.98334,4.967064,18.219765,TRAIN
Kicking,6,214.94661,5.9071245,19.591063,TRAIN
Riding-Horse,3,288.76328,7.021864,22.369291,TRAIN
Golf-Swing,4,291.65933,4.0746007,18.44439,TRAIN
Golf-Swing,4,151.2793,9.855536,21.937397,TRAIN
Kicking,6,179.2265,8.28078,20.867023,TRAIN
Riding-Horse,3,196.0018,6.603264,18.004099,TRAIN
Diving-Side,5,394.31952,3.7291555,20.768618,TRAIN
Riding-Horse,3,241.23541,5.888327,20.235085,TRAIN
Golf-Swing,4,268.60065,5.0566926,18.392778,TRAIN
Kicking,6,328.7973,7.1230965,25.251833,TRAIN
Riding-Horse,3,156.21463,8.012969,18.372313,TRAIN
Swing-SideAngle,1,379.75714,4.9645724,22.492073,TRAIN
Swing-SideAngle,1,350.32037,2.8475952,19.06013,TRAIN
Kicking,6,290.9188,7.7448077,24.67142,TRAIN
Golf-Swing,4,176.37749,7.2879415,16.72445,TRAIN
Swing-Bench,2,111.86651,5.4848084,17.039358,TRAIN
Swing-SideAngle,1,163.17162,4.162427,16.122278,TRAIN
Golf-Swing,4,517.30286,6.2716975,30.057762,TRAIN
Kicking,6,329.3562,6.610072,22.42672,TRAIN
Golf-Swing,4,278.5582,7.6203203,22.917797,TRAIN
Diving-Side,5,80.59127,5.522798,13.16389,TRAIN
Diving-Side,5,98.995316,6.264613,14.722175,TRAIN
Swing-SideAngle,1,203.13028,3.8391972,17.88506,TRAIN
Swing-Bench,2,212.04861,5.507266,17.566978,TRAIN
Swing-Bench,2,153.73836,4.7535057,15.56042,TRAIN
Riding-Horse,3,199.80536,8.403401,19.401596,TRAIN
Riding-Horse,3,129.30794,5.722623,16.082485,TRAIN
Golf-Swing,4,295.10547,4.140984,19.14371,TRAIN
Kicking,6,298.24908,8.316292,23.059385,TRAIN
Swing-Bench,2,84.301025,7.4727416,15.859925,TRAIN
Run-Side,0,258.3059,5.677675,20.269829,TRAIN
Diving-Side,5,179.53609,3.595292,14.908549,TRAIN
Golf-Swing,4,233.61417,4.3608823,16.945044,TRAIN
Diving-Side,5,289.96124,10.687968,28.290121,TRAIN
Swing-Bench,2,264.83438,7.401418,22.139511,TRAIN
Diving-Side,5,210.42862,4.7964983,17.304207,TRAIN
Kicking,6,251.3079,7.502608,22.493746,TRAIN
Run-Side,0,201.737,9.611818,25.975183,TRAIN
Swing-Bench,2,156.87964,4.9493923,18.119743,TRAIN
Kicking,6,287.02612,4.8876786,21.69191,TRAIN
Golf-Swing,4,348.1263,5.467828,20.818832,TRAIN
Riding-Horse,3,190.5019,7.3727107,20.167572,TRAIN
Swing-SideAngle,1,168.44962,5.3958044,17.518688,TRAIN
Diving-Side,5,187.97156,7.649537,19.121906,TRAIN
Diving-Side,5,192.78302,8.166537,21.073235,TRAIN
Kicking,6,381.8361,7.3923955,25.497606,TRAIN
Kicking,6,179.23529,8.484527,22.151134,TRAIN
Kicking,6,165.30824,11.439506,24.793509,TRAIN
Riding-Horse,3,273.1192,7.4662557,23.956865,TRAIN
Run-Side,0,328.97,7.3800755,27.955517,TRAIN
Swing-SideAngle,1,302.16046,4.1676154,18.366055,TRAIN
Swing-Bench,2,234.4346,7.1495204,19.489145,TRAIN
Golf-Swing,4,247.62076,3.9428272,17.361296,TRAIN
Golf-Swing,4,209.65396,5.7130065,16.361862,TRAIN
Diving-Side,5,186.19878,5.0268583,17.257442,TRAIN
Run-Side,0,360.46805,6.8643956,25.09079,TRAIN
Kicking,6,160.67047,9.8283205,22.35279,TRAIN
Swing-SideAngle,1,213.04234,4.6465964,18.686483,TRAIN
Riding-Horse,3,144.7379,7.816342,20.815786,TRAIN
Run-Side,0,226.80241,6.720615,24.776949,TRAIN
Kicking,6,402.64236,9.12313,26.978882,TRAIN
Swing-SideAngle,1,178.56049,5.4838896,18.258947,TRAIN
Swing-SideAngle,1,191.80867,4.760634,16.785547,TRAIN
Run-Side,0,155.85704,6.8000636,18.875666,TRAIN
Kicking,6,494.65085,3.9501057,23.654268,TRAIN
Kicking,6,308.35388,9.537076,26.754915,TRAIN
Riding-Horse,3,180.60364,7.2676663,19.09262,TRAIN
Run-Side,0,147.3448,6.6735573,18.817537,TRAIN
Swing-Bench,2,161.56393,6.1606216,18.957317,TRAIN
Diving-Side,5,141.94727,3.6888902,13.337399,TRAIN
Kicking,6,348.4566,5.816198,22.567099,TRAIN
Golf-Swing,4,273.83905,2.5731535,17.520569,TRAIN
Golf-Swing,4,405.26257,4.2708,21.639326,TRAIN
Riding-Horse,3,211.81934,5.094825,17.282595,TRAIN
Golf-Swing,4,479.91116,4.880759,24.376207,TRAIN
Riding-Horse,3,143.24084,9.0951605,19.789934,TRAIN
Run-Side,0,265.1933,7.6133757,27.394596,TRAIN
Swing-SideAngle,1,343.79285,3.8251195,20.192211,TRAIN
Swing-SideAngle,1,139.12216,7.715553,18.043934,TRAIN
Run-Side,0,310.63275,6.2149444,25.360003,TRAIN
Riding-Horse,3,269.50433,3.7126641,18.941624,TRAIN
Swing-SideAngle,1,200.54437,5.5404162,19.025625,TRAIN
Swing-SideAngle,1,161.88411,5.637444,18.118261,TRAIN
Riding-Horse,3,289.37854,7.3091106,21.806973,TRAIN
Run-Side,0,196.53918,5.5652175,19.122372,TRAIN
Diving-Side,5,134.47789,4.7968516,14.288097,TRAIN
Swing-SideAngle,1,218.97578,5.9560456,18.35088,TRAIN
Diving-Side,5,116.2374,6.1903715,14.619136,TRAIN
Diving-Side,5,180.73871,4.600835,16.320454,TRAIN
Riding-Horse,3,460.36932,5.554411,23.962105,TRAIN
Run-Side,0,234.58423,5.2588267,19.540089,TRAIN
Swing-SideAngle,1,136.91724,4.2039533,15.160765,TRAIN
Diving-Side,5,132.47246,5.2438984,14.279803,TRAIN
Swing-Bench,2,191.26595,6.9596553,17.523472,TRAIN
Riding-Horse,3,120.79505,8.252742,18.700928,TRAIN
Golf-Swing,4,337.19196,3.6453702,18.898172,TRAIN
Riding-Horse,3,361.1177,6.262784,24.523031,TRAIN
Swing-Bench,2,69.82032,7.369972,14.98646,TRAIN
Riding-Horse,3,212.56743,8.530807,23.353085,TRAIN
Run-Side,0,257.5863,7.7500296,26.563574,TRAIN
Run-Side,0,190.89758,6.8995533,19.018068,TRAIN
Golf-Swing,4,461.4227,5.159138,23.19658,TRAIN
Diving-Side,5,343.88455,6.037627,21.65148,TRAIN
Diving-Side,5,101.00894,6.2869782,13.649749,TRAIN
Swing-Bench,2,478.68768,4.821335,25.692574,TRAIN
Golf-Swing,4,354.12567,7.447269,24.173615,TRAIN
Swing-SideAngle,1,138.92313,4.847297,16.771013,TRAIN
Swing-Bench,2,131.31764,5.846172,15.35723,TRAIN
Riding-Horse,3,227.1745,3.9535913,17.41503,TRAIN
Kicking,6,135.09575,10.854769,23.92501,TRAIN
Run-Side,0,147.1399,7.056273,24.603638,TRAIN
Swing-SideAngle,1,248.49948,4.3522077,18.071142,TRAIN
Diving-Side,5,218.78534,10.8090315,24.836485,TRAIN
Diving-Side,5,224.15747,3.8002617,16.87669,TRAIN
Diving-Side,5,134.28194,6.21674,15.320118,TRAIN
Swing-Bench,2,305.49432,4.0479727,19.695053,TRAIN
Kicking,6,327.0231,7.003649,24.69346,TRAIN
Golf-Swing,4,265.82874,4.2335095,17.440632,TRAIN
Swing-SideAngle,1,138.17932,4.5624747,16.191467,TRAIN
Riding-Horse,3,278.58905,5.985077,20.491121,TRAIN
Swing-Bench,2,182.75726,7.6268992,19.569166,TRAIN
Riding-Horse,3,421.06256,6.687967,26.580774,TRAIN
Swing-Bench,2,170.38185,5.970778,16.901342,TRAIN
Golf-Swing,4,159.2986,6.0287967,16.649267,TRAIN
Swing-Bench,2,180.6335,6.6881337,18.168512,TRAIN
Kicking,6,266.32855,7.414912,24.58236,TRAIN
Golf-Swing,4,271.29266,7.884091,23.993294,TRAIN
Swing-Bench,2,285.98743,3.6675236,20.343424,TRAIN
Swing-Bench,2,265.1128,5.279208,21.19528,TRAIN
Swing-Bench,2,176.5014,7.0540485,18.798735,TRAIN
Diving-Side,5,237.35155,4.333733,18.672707,TRAIN
Diving-Side,5,195.3859,4.4200287,16.485258,TRAIN
Riding-Horse,3,128.1826,7.4224815,17.799297,TRAIN
Diving-Side,5,338.71072,4.3654675,19.130625,TRAIN
Kicking,6,235.64911,7.589571,23.68187,TRAIN
Swing-Bench,2,133.42494,6.7491364,16.959562,TRAIN
Diving-Side,5,204.54297,3.375766,15.757215,TRAIN
Run-Side,0,182.63507,8.80544,26.02415,TRAIN
Swing-SideAngle,1,172.53752,5.7822847,17.279573,TRAIN
Golf-Swing,4,493.23495,5.801306,24.63603,TRAIN
Golf-Swing,4,184.54253,4.6671596,15.306162,TRAIN
Run-Side,0,334.6372,6.5944347,25.299889,TRAIN
Diving-Side,5,213.92249,3.5959692,15.993411,TRAIN
Swing-Bench,2,137.59021,8.360102,19.22044,TRAIN
Diving-Side,5,228.57156,4.070917,16.653782,TRAIN
Swing-SideAngle,1,208.25607,5.2192116,17.171864,TRAIN
Swing-SideAngle,1,290.25153,3.4209828,19.14464,TRAIN
Riding-Horse,3,164.60522,7.92622,21.181484,TRAIN
Swing-SideAngle,1,225.01814,4.9802155,18.763906,TRAIN
Swing-Bench,2,327.02838,8.223872,24.310743,TRAIN
Kicking,6,252.64716,7.4897723,21.654718,TRAIN
Riding-Horse,3,255.96848,6.8553815,19.181787,TRAIN
Riding-Horse,3,195.21925,8.528077,18.161163,TRAIN
Kicking,6,454.90335,4.7415905,26.690351,TRAIN
Golf-Swing,4,427.35165,3.212002,21.775557,TRAIN
Riding-Horse,3,276.4481,7.6232786,23.199322,TRAIN
Kicking,6,163.32932,9.179239,22.030605,TRAIN
Golf-Swing,4,242.87138,6.9698744,19.043262,TRAIN
Riding-Horse,3,169.2295,4.480649,17.432884,TRAIN
Kicking,6,206.6387,10.59727,24.970203,TRAIN
Diving-Side,5,115.35126,5.2506466,14.44402,TRAIN
Swing-SideAngle,1,250.37776,5.374079,18.218487,TRAIN
Riding-Horse,3,213.5265,5.4856944,17.881899,TRAIN
Swing-Bench,2,161.02162,7.780119,18.374685,TRAIN
Diving-Side,5,323.82825,9.862342,29.14608,TRAIN
Swing-Bench,2,118.512024,6.4777374,18.000854,TRAIN
Swing-SideAngle,1,139.13748,4.6199765,16.152054,TRAIN
Run-Side,0,449.30865,5.362966,25.948662,TRAIN
Riding-Horse,3,345.54767,6.2507486,23.309519,TRAIN
Golf-Swing,4,315.11884,3.9333968,19.019115,TRAIN
Riding-Horse,3,531.9937,5.6127806,25.55086,TRAIN
Diving-Side,5,396.84192,5.4871936,22.378819,TRAIN
Swing-Bench,2,94.442474,7.4401608,17.09176,TRAIN
Run-Side,0,199.79594,5.8027387,19.547283,TRAIN
Swing-Bench,2,307.97208,5.8705435,19.693562,TRAIN
Diving-Side,5,273.36954,9.592644,24.489124,TRAIN
Run-Side,0,213.75145,7.8853974,25.928694,TRAIN
Run-Side,0,203.72719,6.2113857,19.854916,TRAIN
Run-Side,0,214.37634,4.4790206,18.5466,TRAIN
Kicking,6,219.505,6.602883,20.047735,TRAIN
Golf-Swing,4,182.52011,5.99945,17.382324,TRAIN
Swing-Bench,2,119.23368,6.9023275,17.677376,TRAIN
Swing-Bench,2,155.92557,6.5845075,17.135113,TRAIN
Golf-Swing,4,189.7845,4.1274586,15.833672,TRAIN
Swing-SideAngle,1,220.41824,4.278172,17.992937,TRAIN
Kicking,6,130.14111,10.26286,20.975605,TRAIN
Swing-SideAngle,1,295.54596,3.4770772,18.394241,TRAIN
Swing-Bench,2,337.85406,6.4451375,21.45988,TRAIN
Swing-SideAngle,1,354.21344,3.3727262,19.2786,TRAIN
Golf-Swing,4,270.4566,4.628533,18.546562,TRAIN
Riding-Horse,3,451.15408,6.2627716,24.65,TRAIN
Run-Side,0,235.74416,7.8471212,25.831211,TRAIN
Swing-SideAngle,1,139.61421,7.183237,17.39351,TRAIN
